Ekran kartı        00000500000000003İŞLEMCİ          00000200000000004
Glass               00000010000000005
WOOD                00000001000000030
                    00000000000000000
WOOD                     00000001000000020
WOOD                     00000001000000010
WOOD                00000001000000010
WOOD      00000001000000010
wood                00000001000000010
WOOD                00000001000000010
WOOD                     0   10000    10
WOOD                     0   10000    10
WOOD                WD      10000    10
WOOD                WD3     11100    1100
WOOD                WD   00111000001100
WOOD                WD   $   11100    1100
WOOD                WD   $   11100    1100
WOOD                WD   $   11100    1100
wood                wd   $   11100    1100
wood                wd   $   11100    1100
wood                wd   $0011100    1100
wood                wd   0011100    1100
WOOD                WD    111100     000
WOOD                WD     111   11
WOOD                WD      1110    110
WOOD                WD   $  1110   11
WOOD                WD   $  11100   11
WOD                 WD   $  111.00   11
WOOD                WD   $   11.00   11
